"Event_ID","Name","Categories","Environment","Location","Start_Date","End_Date","Price_Range","Family_Friendly","Description","Categories_list","Year","Month","Day","City_Key","Avg_Max_Temp","Avg_Min_Temp","Temp_max_Category","Temp_min_Category"
"12","Abu Dhabi Science Festival","Exhibition, Cultural","Indoor","Various Abu Dhabi Locations","2026-11-12","2026-11-21","Free","True","The Abu Dhabi Science Festival fills venues across the capital with hands-on experiments, robotics demos, and interactive exhibits designed to spark curiosity in science and technology among children and families alike.","['Exhibition', 'Cultural']","2026","11","12","Abu Dhabi","30.51","23.08","Warm","Normal"
"13","Dubai International Film Festival","Festival, Cultural","Indoor","Madinat Jumeirah Dubai","2026-12-09","2026-12-16","Medium","True","The Dubai International Film Festival celebrates Arab and international cinema with red-carpet premieres, industry panels, and screenings spotlighting both established filmmakers and emerging regional talent at Madinat Jumeirah.","['Festival', 'Cultural']","2026","12","9","Dubai","26.56451612903226","18.041935483870965","Normal","Cold"
"14","Taste of Dubai","Festival, Entertainment","Outdoor","Dubai Media City","2026-03-12","2026-03-14","Medium","True","Taste of Dubai combines live cooking demonstrations from celebrity chefs with food stalls and live music performances in an open-air setting, giving visitors a sampling festival built around food and entertainment together.","['Festival', 'Entertainment']","2026","3","12","Dubai","29.31290322580645","19.796774193548387","Normal","Cold"
"15","Abu Dhabi Comedy Week","Concert, Entertainment","Indoor","Various Abu Dhabi Venues","2026-10-15","2026-10-22","Medium","False","Abu Dhabi Comedy Week brings touring stand-up comedians to venues across the capital for a week of live comedy shows, showcasing a mix of international headliners and rising acts.","['Concert', 'Entertainment']","2026","10","15","Abu Dhabi","34.9483870967742","27.490322580645163","Warm","Normal"
"16","Dubai Design Week","Exhibition, Cultural","Both","Dubai Design District","2026-11-08","2026-11-13","Free","True","Dubai Design Week is the region's largest creative festival, spotlighting furniture, product, and graphic design through exhibitions, talks, and the Downtown Design trade fair centered in the Dubai Design District.","['Exhibition', 'Cultural']","2026","11","8","Dubai","30.973333333333336","20.276666666666664","Warm","Normal"
"17","Sharjah Biennial","Exhibition, Cultural","Indoor","Sharjah Art Foundation","2026-03-07","2026-06-10","Free","True","The Sharjah Biennial is a major recurring contemporary art exhibition presenting works by artists from around the world across multiple venues, exploring global themes through installations, film, and performance over several months.","['Exhibition', 'Cultural']","2026","3","7","Sharjah","35.27706989247312","24.84241935483871","Warm","Normal"
"18","Dubai Marathon","Sports","Outdoor","Jumeirah Beach Road Dubai","2026-01-23","2026-01-23","Low","True","The Dubai Marathon takes runners along the scenic Jumeirah Beach Road route, offering full and half marathon distances alongside a shorter fun run, drawing both elite athletes and recreational participants each January.","['Sports']","2026","1","23","Dubai","23.79032258064516","16.067741935483873","Normal","Cold"
"19","Abu Dhabi Marathon","Sports","Outdoor","Abu Dhabi Corniche","2026-12-04","2026-12-04","Low","True","The Abu Dhabi Marathon winds along the capital's Corniche waterfront, attracting international elite runners and thousands of amateur participants across full marathon, half marathon, and shorter race categories.","['Sports']","2026","12","4","Abu Dhabi","26.583870967741937","19.39032258064516","Normal","Cold"
"20","UAE National Day Celebrations","Festival, Cultural","Both","UAE Nationwide","2026-12-02","2026-12-03","Free","True","UAE National Day Celebrations mark the founding of the union with parades, cultural performances, light shows, and fireworks held in cities and towns across the country over two days of patriotic festivities.","['Festival', 'Cultural']","2026","12","2","Dubai","26.56451612903226","18.041935483870965","Normal","Cold"
"21","New Year's Eve Fireworks Dubai","Festival, Entertainment","Outdoor","Burj Khalifa Dubai","2026-12-31","2026-12-31","Free","True","The New Year's Eve Fireworks display at Burj Khalifa is one of the world's most-watched countdown celebrations, combining a synchronized pyrotechnic and light show with the tower's dazzling LED facade.","['Festival', 'Entertainment']","2026","12","31","Dubai","26.56451612903226","18.041935483870965","Normal","Cold"
"22","New Year's Eve Abu Dhabi","Festival, Entertainment","Outdoor","Abu Dhabi Corniche","2026-12-31","2026-12-31","Free","True","Abu Dhabi's New Year's Eve celebration along the Corniche pairs a spectacular fireworks display with live concerts and public gatherings, offering a free, family-friendly way to ring in the new year.","['Festival', 'Entertainment']","2026","12","31","Abu Dhabi","26.583870967741937","19.39032258064516","Normal","Cold"
"23","Dubai Tennis Championships","Sports","Outdoor","Dubai Duty Free Tennis Stadium","2026-02-16","2026-02-22","High","True","The Dubai Tennis Championships bring top-ranked WTA 1000 players to the Dubai Duty Free Tennis Stadium for a week of professional tennis, part of the region's prestigious tennis calendar.","['Sports']","2026","2","16","Dubai","25.475","18.257142857142856","Normal","Cold"
"24","Mubadala World Tennis Championship","Sports","Indoor","Zayed Sports City Abu Dhabi","2026-12-17","2026-12-19","High","True","The Mubadala World Tennis Championship is an exhibition tournament that gathers some of the sport's biggest names for exciting off-season matches at Zayed Sports City in Abu Dhabi.","['Sports']","2026","12","17","Abu Dhabi","26.583870967741937","19.39032258064516","Normal","Cold"
"25","Dubai Desert Classic","Sports","Outdoor","Emirates Golf Club Dubai","2026-01-28","2026-01-31","Medium","True","The Dubai Desert Classic is a European Tour golf tournament held at the Emirates Golf Club, attracting top international golfers to compete on one of the region's most iconic desert courses.","['Sports']","2026","1","28","Dubai","23.79032258064516","16.067741935483873","Normal","Cold"
"26","Abu Dhabi HSBC Championship","Sports","Outdoor","Yas Links Abu Dhabi","2026-01-21","2026-01-24","Medium","True","The Abu Dhabi HSBC Championship is a PGA Tour golf event held at Yas Links, drawing world-class golfers to a coastal course overlooking the Arabian Gulf.","['Sports']","2026","1","21","Abu Dhabi","23.200000000000003","17.451612903225808","Normal","Cold"
"27","DP World Tour Championship","Sports","Outdoor","Jumeirah Golf Estates Dubai","2026-11-18","2026-11-21","Medium","True","The DP World Tour Championship serves as the season finale for the European Tour, held at Jumeirah Golf Estates, where the year's top-ranked golfers compete for the season's biggest prize.","['Sports']","2026","11","18","Dubai","30.973333333333336","20.276666666666664","Warm","Normal"
"28","Dubai International Boat Show","Exhibition","Outdoor","Dubai Harbour","2026-02-28","2026-03-04","Medium","True","The Dubai International Boat Show showcases luxury yachts, marine equipment, and watersports innovations at Dubai Harbour, drawing boating enthusiasts, industry professionals, and buyers from around the world.","['Exhibition']","2026","2","28","Dubai","27.393951612903223","19.02695852534562","Normal","Cold"
"29","Abu Dhabi International Boat Show","Exhibition","Outdoor","ADNEC Marina Abu Dhabi","2026-10-14","2026-10-17","Medium","True","The Abu Dhabi International Boat Show gathers the marine industry at ADNEC Marina, featuring yachts, boats, and maritime technology alongside on-water demonstrations and industry networking.","['Exhibition']","2026","10","14","Abu Dhabi","34.9483870967742","27.490322580645163","Warm","Normal"
"30","GITEX Technology Week","Exhibition","Indoor","Dubai World Trade Centre","2026-10-11","2026-10-15","Medium","False","GITEX Technology Week is one of the world's largest tech exhibitions, bringing together startups, global tech giants, and innovators at the Dubai World Trade Centre to showcase the latest in AI, cybersecurity, and digital transformation.","['Exhibition']","2026","10","11","Dubai","34.91290322580645","25.92258064516129","Warm","Normal"
"31","Arab Health","Exhibition","Indoor","Dubai World Trade Centre","2026-01-26","2026-01-29","Medium","False","Arab Health is a major healthcare exhibition and congress that brings together medical professionals, manufacturers, and policymakers from across the region to explore the latest developments in medical technology and services.","['Exhibition']","2026","1","26","Dubai","23.79032258064516","16.067741935483873","Normal","Cold"
"32","Gulfood","Exhibition","Indoor","Dubai World Trade Centre","2026-02-16","2026-02-20","Medium","False","Gulfood is billed as the world's largest annual food and beverage trade show, hosting thousands of exhibitors from across the global food industry at the Dubai World Trade Centre.","['Exhibition']","2026","2","16","Dubai","25.475","18.257142857142856","Normal","Cold"
"33","Dubai Airshow","Exhibition","Outdoor","DWC Airshow Site Dubai","2027-11-14","2027-11-18","Medium","False","The Dubai Airshow is a major international aerospace and defense exhibition featuring aircraft displays, industry deals, and flying demonstrations at the Dubai World Central airshow site.","['Exhibition']","2027","11","14","Dubai","30.973333333333336","20.276666666666664","Warm","Normal"
"34","IDEX Abu Dhabi","Exhibition","Indoor","ADNEC Abu Dhabi","2027-02-21","2027-02-25","Medium","False","IDEX Abu Dhabi is a leading international defence exhibition showcasing military technology, equipment, and innovations from global defence contractors and government delegations at ADNEC.","['Exhibition']","2027","2","21","Abu Dhabi","25.11428571428572","18.567857142857143","Normal","Cold"
"35","Mother of the Nation Festival","Festival, Entertainment","Outdoor","Abu Dhabi Corniche","2026-03-12","2026-03-21","Low","True","The Mother of the Nation Festival is a family-oriented celebration along the Abu Dhabi Corniche featuring cultural performances, workshops, and activities honoring the legacy of Sheikha Fatima bint Mubarak.","['Festival', 'Entertainment']","2026","3","12","Abu Dhabi","29.203225806451613","20.216129032258067","Normal","Normal"
"36","Eid Al Fitr Celebrations","Festival, Cultural","Both","UAE Nationwide","2026-03-20","2026-03-22","Free","True","Eid Al Fitr Celebrations mark the end of Ramadan with festive gatherings, prayers, family visits, and public festivities held in cities and neighborhoods across the UAE.","['Festival', 'Cultural']","2026","3","20","Dubai","29.31290322580645","19.796774193548387","Normal","Cold"
"37","Eid Al Adha Celebrations","Festival, Cultural","Both","UAE Nationwide","2026-05-27","2026-05-30","Free","True","Eid Al Adha Celebrations bring communities together nationwide for prayers, feasts, and charitable traditions marking one of the most significant holidays in the Islamic calendar.","['Festival', 'Cultural']","2026","5","27","Dubai","37.74516129032258","26.40967741935484","Warm","Normal"
"38","Dubai Summer Surprises","Festival, Entertainment","Indoor","Dubai Citywide","2026-06-28","2026-09-03","Free","True","Dubai Summer Surprises is a summer-long shopping and entertainment festival offering retail discounts, family activities, and indoor attractions to help residents beat the summer heat.","['Festival', 'Entertainment']","2026","6","28","Dubai","40.47604838709677","29.97443548387097","Hot","Normal"
"39","Abu Dhabi Summer Season","Festival, Entertainment","Both","Abu Dhabi Citywide","2026-07-01","2026-08-31","Free","True","The Abu Dhabi Summer Season fills the capital with indoor entertainment, family activities, and seasonal promotions designed to keep residents and visitors engaged throughout the hottest months.","['Festival', 'Entertainment']","2026","7","1","Abu Dhabi","41.52580645161291","31.682258064516127","Hot","Warm"
"40","Khaled bin Mohamed bin Zayed Jiu-Jitsu Championship Round 6","Sports","Indoor","Al Nasr Club Dubai","2026-08-29","2026-08-30","Low","True","This round of the Khaled bin Mohamed bin Zayed Jiu-Jitsu Championship features No-Gi competition, bringing top grapplers to Al Nasr Club in Dubai as part of the UAE's growing jiu-jitsu circuit.","['Sports']","2026","8","29","Dubai","41.97741935483871","31.69677419354839","Hot","Warm"
"41","Khaled bin Mohamed bin Zayed Jiu-Jitsu Championship Round 7","Sports","Indoor","Mubadala Arena Abu Dhabi","2026-09-18","2026-09-20","Low","True","This round of the Khaled bin Mohamed bin Zayed Jiu-Jitsu Championship focuses on Gi competition, hosted at the Mubadala Arena in Abu Dhabi as part of the sport's expanding regional calendar.","['Sports']","2026","9","18","Abu Dhabi","39.22666666666667","30.58","Hot","Warm"
"42","Abu Dhabi World Professional Jiu-Jitsu Championship","Sports","Indoor","Mubadala Arena Abu Dhabi","2026-11-19","2026-11-21","Medium","True","The Abu Dhabi World Professional Jiu-Jitsu Championship gathers elite grapplers from around the globe to compete at the Mubadala Arena in one of the sport's most prestigious professional tournaments.","['Sports']","2026","11","19","Abu Dhabi","30.51","23.08","Warm","Normal"
"43","Abu Dhabi World Amateur Jiu-Jitsu Championship","Sports","Indoor","Mubadala Arena Abu Dhabi","2026-11-09","2026-11-10","Low","True","The Abu Dhabi World Amateur Jiu-Jitsu Championship brings together amateur competitors from around the world to test their skills on one of the sport's biggest international stages.","['Sports']","2026","11","9","Abu Dhabi","30.51","23.08","Warm","Normal"
"44","Abu Dhabi World Youth Jiu-Jitsu Championship","Sports","Indoor","Mubadala Arena Abu Dhabi","2026-11-11","2026-11-13","Low","True","The Abu Dhabi World Youth Jiu-Jitsu Championship showcases the next generation of grapplers, giving young athletes from around the world a platform to compete internationally.","['Sports']","2026","11","11","Abu Dhabi","30.51","23.08","Warm","Normal"
"45","Jiu-Jitsu President's Cup","Sports","Indoor","Abu Dhabi Venue TBC","2026-10-24","2026-10-24","Low","True","The Jiu-Jitsu President's Cup is a national-level competition that brings together competitors from across the UAE to vie for one of the country's top jiu-jitsu titles.","['Sports']","2026","10","24","Abu Dhabi","34.9483870967742","27.490322580645163","Warm","Normal"
"46","Women in Data Science UAE 2026","Exhibition, Cultural","Indoor","Heriot-Watt University Dubai","2026-07-19","2026-07-19","Low","False","Women in Data Science UAE 2026 is a one-day conference at Heriot-Watt University Dubai featuring talks, workshops, and networking aimed at supporting and inspiring women working in data and technology fields.","['Exhibition', 'Cultural']","2026","7","19","Dubai","41.69677419354839","30.870967741935484","Hot","Warm"
"47","Abu Dhabi Connect Networking Evening","Cultural","Indoor","Craft by Side Hustle Abu Dhabi","2026-07-16","2026-07-16","Low","False","The Abu Dhabi Connect Networking Evening offers professionals a relaxed setting to meet, exchange ideas, and build connections across industries at a popular capital venue.","['Cultural']","2026","7","16","Abu Dhabi","40.62903225806452","30.98064516129032","Hot","Warm"
"48","Dubai Run","Sports","Outdoor","Sheikh Zayed Road Dubai","2026-11-22","2026-11-22","Free","True","Dubai Run closes off Sheikh Zayed Road to traffic for a day, letting runners, joggers, and cyclists of all levels take over the iconic highway for a free community event.","['Sports']","2026","11","22","Dubai","30.973333333333336","20.276666666666664","Warm","Normal"
"49","Abu Dhabi T10 League","Sports","Outdoor","Zayed Cricket Stadium Abu Dhabi","2026-11-23","2026-12-06","Medium","True","The Abu Dhabi T10 League brings fast-paced, ten-over cricket matches to the Zayed Cricket Stadium, featuring international players in a high-energy tournament format over roughly two weeks.","['Sports']","2026","11","23","Abu Dhabi","28.546935483870968","21.23516129032258","Normal","Normal"
"50","IPL UAE Matches","Sports","Outdoor","Dubai International Stadium","2026-04-15","2026-04-30","High","True","IPL UAE Matches bring Indian Premier League cricket action to Dubai International Stadium, with top international and domestic players competing in some of the world's most-watched T20 fixtures.","['Sports']","2026","4","15","Dubai","35.43","23.23","Warm","Normal"
"51","Dubai Opera Season","Concert, Cultural","Indoor","Dubai Opera","2026-09-01","2027-06-30","High","True","The Dubai Opera Season runs nearly year-round, hosting a rotating program of classical concerts, opera, ballet, and theatrical productions from international and regional performers at the iconic Dubai Opera venue.","['Concert', 'Cultural']","2026","9","1","Dubai","32.24341397849462","22.533251920122886","Warm","Normal"
"52","Louvre Abu Dhabi Exhibitions","Exhibition, Cultural","Indoor","Louvre Abu Dhabi","2026-01-01","2026-12-31","Medium","True","Louvre Abu Dhabi's rotating exhibitions bring loaned and rotating artworks, alongside the museum's permanent collection, offering visitors an ever-changing look at art and history spanning civilizations across the year.","['Exhibition', 'Cultural']","2026","1","1","Abu Dhabi","33.68561699948797","25.091514976958525","Warm","Normal"
"53","Expo City Dubai Events","Festival, Exhibition","Both","Expo City Dubai","2026-01-01","2026-12-31","Low","True","Expo City Dubai continues hosting a year-round calendar of events, exhibitions, and community activities on the site of the former World Expo, blending its legacy pavilions with new programming.","['Festival', 'Exhibition']","2026","1","1","Dubai","33.84236111111111","23.991688428059398","Warm","Normal"
"54","Al Dhafra Festival","Festival, Cultural","Outdoor","Madinat Zayed Al Dhafra","2026-12-15","2027-01-15","Free","True","The Al Dhafra Festival is a month-long heritage celebration in the Al Dhafra region featuring camel beauty contests, traditional handicrafts, and cultural competitions that highlight Emirati Bedouin traditions.","['Festival', 'Cultural']","2026","12","15","Dubai","25.17741935483871","17.05483870967742","Normal","Cold"
"55","Liwa Date Festival","Festival, Cultural","Outdoor","Liwa Oasis Abu Dhabi","2026-07-15","2026-07-25","Free","True","The Liwa Date Festival celebrates the region's date harvest with competitions, exhibitions, and cultural events held amid the dunes of the Liwa Oasis, honoring a crop central to Emirati heritage.","['Festival', 'Cultural']","2026","7","15","Abu Dhabi","40.62903225806452","30.98064516129032","Hot","Warm"
"56","Sharjah Heritage Days","Festival, Cultural","Outdoor","Heart of Sharjah","2026-02-10","2026-02-25","Free","True","Sharjah Heritage Days transform the Heart of Sharjah into a living showcase of traditional Emirati culture, with craft demonstrations, folk performances, and heritage-themed activities for the whole family.","['Festival', 'Cultural']","2026","2","10","Sharjah","25.392857142857142","18.389285714285712","Normal","Cold"
"57","Dubai Camel Racing Season","Sports, Cultural","Outdoor","Al Marmoom Dubai","2026-10-01","2027-04-30","Free","True","The Dubai Camel Racing Season runs for months at the Al Marmoom track, where remote-controlled jockeys guide camels in races that preserve one of the region's oldest traditional sports.","['Sports', 'Cultural']","2026","10","1","Dubai","29.49413978494624","20.227548825982005","Normal","Normal"
"58","Abu Dhabi Classics","Concert","Indoor","Emirates Palace Abu Dhabi","2026-10-15","2027-04-30","High","True","Abu Dhabi Classics is a long-running concert series bringing internationally acclaimed orchestras and classical musicians to the Emirates Palace for an elegant season of performances.","['Concert']","2026","10","15","Abu Dhabi","29.377109940750497","21.47946346280448","Normal","Normal"
"59","Emirates Airline Festival of Literature","Festival, Cultural","Indoor","InterContinental Dubai Festival City","2026-02-03","2026-02-08","Low","True","The Emirates Airline Festival of Literature gathers authors, poets, and thinkers from around the world for a week of talks, book signings, and workshops at the InterContinental Dubai Festival City.","['Festival', 'Cultural']","2026","2","3","Dubai","25.475","18.257142857142856","Normal","Cold"
"60","Sikka Art and Design Festival","Festival, Cultural","Outdoor","Al Fahidi Historical District Dubai","2026-03-01","2026-03-15","Free","True","The Sikka Art and Design Festival takes over the historic Al Fahidi district with street art, design showcases, and creative installations set among Dubai's traditional wind-tower architecture.","['Festival', 'Cultural']","2026","3","1","Dubai","29.31290322580645","19.796774193548387","Normal","Cold"
"61","Quoz Arts Fest","Festival, Cultural","Both","Alserkal Avenue Dubai","2026-01-29","2026-01-31","Free","True","Quoz Arts Fest is a community-driven celebration of art and creativity at Alserkal Avenue, featuring open studios, live performances, and installations across Dubai's arts district.","['Festival', 'Cultural']","2026","1","29","Dubai","23.79032258064516","16.067741935483873","Normal","Cold"
"62","Dubai Comedy Festival","Concert, Entertainment","Indoor","Various Dubai Venues","2026-05-01","2026-05-15","Medium","False","The Dubai Comedy Festival brings a lineup of international and regional stand-up comedians to venues across the city for two weeks of live comedy shows.","['Concert', 'Entertainment']","2026","5","1","Dubai","37.74516129032258","26.40967741935484","Warm","Normal"
"63","Abu Dhabi Festival","Concert, Cultural","Indoor","Various Abu Dhabi Venues","2026-02-15","2026-04-15","High","True","The Abu Dhabi Festival is a major performing arts festival presenting orchestral concerts, opera, dance, and cross-cultural collaborations across venues in the capital over two months.","['Concert', 'Cultural']","2026","2","15","Abu Dhabi","30.13250384024578","20.98132872503841","Warm","Normal"
"64","Dubai International Dance Festival","Concert, Cultural","Indoor","Dubai Opera","2026-03-20","2026-03-28","Medium","True","The Dubai International Dance Festival showcases contemporary and traditional dance performances alongside workshops, bringing renowned choreographers and dance companies to the Dubai Opera stage.","['Concert', 'Cultural']","2026","3","20","Dubai","29.31290322580645","19.796774193548387","Normal","Cold"
"65","Sharjah International Book Fair","Exhibition, Cultural","Indoor","Expo Centre Sharjah","2026-11-04","2026-11-14","Free","True","The Sharjah International Book Fair is one of the world's largest publishing events, bringing together publishers, authors, and readers for ten days of book launches, talks, and cultural programming.","['Exhibition', 'Cultural']","2026","11","4","Sharjah","30.916666666666668","21.09333333333333","Warm","Normal"
"66","Abu Dhabi International Book Fair","Exhibition, Cultural","Indoor","ADNEC Abu Dhabi","2026-04-26","2026-05-02","Free","True","The Abu Dhabi International Book Fair brings publishers and authors together at ADNEC for a week of book launches, signings, and literary discussions open to the public.","['Exhibition', 'Cultural']","2026","4","26","Abu Dhabi","37.19967741935484","25.918709677419358","Warm","Normal"
"67","Dubai Watch Week","Exhibition","Indoor","Dubai International Financial Centre","2026-11-18","2026-11-22","Free","True","Dubai Watch Week is a free public exhibition celebrating horology, featuring rare timepieces, brand showcases, and talks with watchmakers at the Dubai International Financial Centre.","['Exhibition']","2026","11","18","Dubai","30.973333333333336","20.276666666666664","Warm","Normal"
"68","Sole DXB","Festival, Concert","Outdoor","Dubai Design District","2026-12-10","2026-12-12","High","False","Sole DXB blends streetwear culture, sneaker releases, and live music into a festival experience at Dubai Design District, drawing fashion and hip-hop enthusiasts from across the region.","['Festival', 'Concert']","2026","12","10","Dubai","26.56451612903226","18.041935483870965","Normal","Cold"
"69","RedFest DXB","Concert, Festival","Outdoor","Dubai Media City Amphitheatre","2026-02-11","2026-02-12","High","False","RedFest DXB brings international pop, hip-hop, and EDM artists to an open-air amphitheatre in Dubai Media City for a weekend of high-energy live music performances.","['Concert', 'Festival']","2026","2","11","Dubai","25.475","18.257142857142856","Normal","Cold"
"70","Beats on the Beach","Concert, Entertainment","Outdoor","Zero Gravity Dubai","2026-04-10","2026-04-11","Medium","False","Beats on the Beach is a beachfront music festival at Zero Gravity Dubai, combining live DJ sets and performances with a seaside party atmosphere.","['Concert', 'Entertainment']","2026","4","10","Dubai","35.43","23.23","Warm","Normal"
"71","Dubai Muscle Show","Exhibition, Sports","Indoor","Dubai World Trade Centre","2026-12-04","2026-12-05","Low","True","The Dubai Muscle Show is a fitness and bodybuilding expo at the Dubai World Trade Centre featuring competitions, supplement showcases, and appearances by leading names in the fitness industry.","['Exhibition', 'Sports']","2026","12","4","Dubai","26.56451612903226","18.041935483870965","Normal","Cold"
"72","Abu Dhabi Fitness Expo","Exhibition, Sports","Indoor","ADNEC Abu Dhabi","2026-11-06","2026-11-08","Low","True","The Abu Dhabi Fitness Expo brings together health, wellness, and fitness brands at ADNEC, offering workshops, demonstrations, and networking for fitness enthusiasts and industry professionals.","['Exhibition', 'Sports']","2026","11","6","Abu Dhabi","30.51","23.08","Warm","Normal"
"73","Dubai E-Sports Festival","Sports, Entertainment","Indoor","Dubai World Trade Centre","2026-07-15","2026-07-18","Medium","True","The Dubai E-Sports Festival gathers competitive gamers and fans at the Dubai World Trade Centre for tournaments, exhibitions, and showcases spanning popular esports titles.","['Sports', 'Entertainment']","2026","7","15","Dubai","41.69677419354839","30.870967741935484","Hot","Warm"
"74","Gamers Hub Abu Dhabi","Sports, Entertainment","Indoor","Yas Island Abu Dhabi","2026-08-20","2026-08-23","Medium","True","Gamers Hub Abu Dhabi is a gaming convention on Yas Island featuring esports competitions, game showcases, and interactive experiences for gamers of all ages.","['Sports', 'Entertainment']","2026","8","20","Abu Dhabi","42.42258064516129","32.383870967741935","Hot","Warm"
"75","Comic Con Middle East","Festival, Entertainment","Indoor","Abu Dhabi National Exhibition Centre","2026-03-05","2026-03-07","Medium","True","Comic Con Middle East brings pop culture to Abu Dhabi with celebrity guest appearances, cosplay competitions, and exhibits celebrating comics, film, and gaming at ADNEC.","['Festival', 'Entertainment']","2026","3","5","Abu Dhabi","29.203225806451613","20.216129032258067","Normal","Normal"
"76","Middle East Film and Comic Con","Festival, Entertainment","Indoor","Dubai World Trade Centre","2026-04-16","2026-04-18","Medium","True","The Middle East Film and Comic Con celebrates pop culture with cosplay contests, panels, and exhibitor booths spanning comics, movies, and gaming at the Dubai World Trade Centre.","['Festival', 'Entertainment']","2026","4","16","Dubai","35.43","23.23","Warm","Normal"
"77","Dubai Ride","Sports","Outdoor","Sheikh Zayed Road Dubai","2026-11-08","2026-11-08","Free","True","Dubai Ride shuts down Sheikh Zayed Road for cyclists of all ages and skill levels to enjoy a car-free ride through the city's main thoroughfare.","['Sports']","2026","11","8","Dubai","30.973333333333336","20.276666666666664","Warm","Normal"
