restaurant_id,restaurant_name,country_code,city,address,locality,locality_verbose,longitude,latitude,cuisines,average_cost_for_two,currency,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,rating,rating_color,rating_text,votes,price_level,rating_score,popularity_score,content,similarity_score
208965,The Coffee Club,214,Dubai,"Wasl Vita, Opposite Civil Defence Station, Near Emirates NBD, Al Wasl Road, Jumeirah 1, Dubai",Jumeirah 1,"Jumeirah 1, Dubai",55.25639722,25.21110278,cafe,140,Emirati Diram(AED),No,Yes,No,No,3,4.5,Dark Green,Excellent,403,medium,0.9,0.1605577689243028,the coffee club dubai cafe,0.0
208778,SALT,214,Dubai,"Kite Beach, Street 2D, Umm Suqeim, Dubai","Kite Beach, Umm Suqeim","Kite Beach, Umm Suqeim, Dubai",55.21152779,25.16812806,"fast food, burger",100,Emirati Diram(AED),No,No,No,No,3,4.3,Green,Very Good,1351,medium,0.86,0.5382470119521913,"salt dubai fast food, burger",0.0
209703,Din Tai Fung,214,Dubai,"Level 2 Expansion, Mall of the Emirates, Barsha 1, Dubai","Mall of the Emirates, Barsha 1","Mall of the Emirates, Barsha 1, Dubai",55.19854523,25.11851301,"asian, chinese",160,Emirati Diram(AED),No,No,No,No,3,4.3,Green,Very Good,661,medium,0.86,0.26334661354581673,"din tai fung dubai asian, chinese",0.0
18381837,SpiceKlub,214,Dubai,"Opposite Aster Hospital, Near Sharaf DG, Kuwait Street, Mankhool, Dubai",Mankhool,"Mankhool, Dubai",55.288061,25.252054,"indian, north indian, street food",150,Emirati Diram(AED),Yes,No,No,No,3,4.4,Green,Very Good,281,medium,0.8800000000000001,0.11195219123505976,"spiceklub dubai indian, north indian, street food",0.0
208850,Tresind - Nassima Royal Hotel,214,Dubai,"Level 2, Nassima Royal Hotel, Sheikh Zayad Road, Trade Centre Area, Dubai","Nassima Royal Hotel, Trade Centre Area","Nassima Royal Hotel, Trade Centre Area, Dubai",55.28256778,25.22347744,indian,500,Emirati Diram(AED),Yes,No,No,No,4,4.9,Dark Green,Excellent,1352,high,0.9800000000000001,0.5386454183266932,tresind - nassima royal hotel dubai indian,0.0
210134,Grand Barbeque Buffet Restaurant,214,Dubai,"Al Mina Road, Next to Ibis Styles Jumeirah Hotel, Satwa, Dubai",Satwa,"Satwa, Dubai",55.27340334,25.24107351,"indian, asian",150,Emirati Diram(AED),Yes,Yes,No,No,3,4.4,Green,Very Good,552,medium,0.8800000000000001,0.2199203187250996,"grand barbeque buffet restaurant dubai indian, asian",0.0
201044,Red Lobster,214,Dubai,"Near the Fountain, Lower Ground Level, The Dubai Mall, Downtown Dubai, Dubai","The Dubai Mall,Downtown Dubai","The Dubai Mall,Downtown Dubai, Dubai",55.278525,25.198291,"seafood, american",285,Emirati Diram(AED),No,No,No,No,3,3.2,Orange,Average,506,medium,0.64,0.20159362549800797,"red lobster dubai seafood, american",0.1564379118619709
201340,The Cheesecake Factory,214,Dubai,"Ground Level, Near Aquarium, The Dubai Mall, Downtown Dubai, Dubai","The Dubai Mall,Downtown Dubai","The Dubai Mall,Downtown Dubai, Dubai",55.27856994,25.19726756,"american, desserts",270,Emirati Diram(AED),No,No,No,No,3,4.7,Dark Green,Excellent,2424,medium,0.9400000000000001,0.9657370517928286,"the cheesecake factory dubai american, desserts",0.16836739212342658
18289126,Parker's,214,Dubai,"The Dubai Mall, Downtown Dubai, Dubai","The Dubai Mall,Downtown Dubai","The Dubai Mall,Downtown Dubai, Dubai",55.27927805,25.19500831,"cafe, burger",170,Emirati Diram(AED),No,No,No,No,3,4.3,Green,Very Good,386,medium,0.86,0.15378486055776894,"parker's dubai cafe, burger",0.0
202507,Applebee's,214,Dubai,"Sheikh Issa Tower, Sheikh Zayed Road, Trade Centre Area, Dubai",Trade Centre Area,"Trade Centre Area, Dubai",55.27430557,25.21135663,"american, mexican, burger",250,Emirati Diram(AED),No,Yes,No,No,3,3.7,Yellow,Good,500,medium,0.74,0.199203187250996,"applebee's dubai american, mexican, burger",0.18681775331011305
210139,Grub Shack,214,Dubai,"Building 41, Next to Dubai Healthcare City Metro Station, Dubai Healthcare City, Umm Hurair, Dubai",Umm Hurair,"Umm Hurair, Dubai",55.32548446,25.22931113,"goan, chinese, indian, north indian",130,Emirati Diram(AED),Yes,Yes,No,No,3,4.3,Green,Very Good,544,medium,0.86,0.21673306772908366,"grub shack dubai goan, chinese, indian, north indian",0.0
5600424,Kamat,214,Sharjah,"Opposite HSBC, Near Emax, King Faisal Street, Abu Shagara, Sharjah",Abu Shagara,"Abu Shagara, Sharjah",55.39273214,25.33315516,"indian, north indian, south indian, chinese",85,Emirati Diram(AED),No,Yes,No,No,3,3.9,Yellow,Good,285,medium,0.78,0.11354581673306773,"kamat sharjah indian, north indian, south indian, chinese",0.0
5602751,Vadakkan Pepper,214,Sharjah,"Near New City Center Supermarket, Abu Shagara, Sharjah",Abu Shagara,"Abu Shagara, Sharjah",55.396984,25.338089,south indian,70,Emirati Diram(AED),No,Yes,No,No,3,3.8,Yellow,Good,210,medium,0.76,0.08366533864541832,vadakkan pepper sharjah south indian,0.0
5600457,Gazebo,214,Sharjah,"Opposite Safeer Market, Near E max, King Faisal Street, Abu Shagara, Sharjah",Abu Shagara,"Abu Shagara, Sharjah",55.39269626,25.33320395,"indian, mughlai, south indian, biryani",120,Emirati Diram(AED),No,Yes,No,No,4,4.1,Green,Very Good,372,high,0.82,0.14820717131474104,"gazebo sharjah indian, mughlai, south indian, biryani",0.0
5600642,Katis Restaurant,214,Sharjah,"Opposite Safeer Market, Al Khan Street, Al Khan, Sharjah",Al Khan,"Al Khan, Sharjah",55.37637066,25.32578908,"indian, north indian, chinese",65,Emirati Diram(AED),No,No,No,No,3,4.3,Green,Very Good,316,medium,0.86,0.1258964143426295,"katis restaurant sharjah indian, north indian, chinese",0.0
18268134,Zaroob,214,Sharjah,"Al Buhaira Corniche Street, Al Majaz Water Front, Al Majaz, Sharjah",Al Majaz,"Al Majaz, Sharjah",55.38474888,25.32451353,lebanese,110,Emirati Diram(AED),No,Yes,No,No,4,3.9,Yellow,Good,69,high,0.78,0.02749003984063745,zaroob sharjah lebanese,0.0
18376208,Derby,214,Sharjah,"Al Khan Street, Al Majaz 3, Al Majaz, Sharjah",Al Majaz,"Al Majaz, Sharjah",55.37086055,25.33045321,"fast food, american",40,Emirati Diram(AED),No,No,No,No,2,4.1,Green,Very Good,33,low,0.82,0.013147410358565738,"derby sharjah fast food, american",0.17712392061838794
5600959,Nayaab Haandi,214,Sharjah,"Near Etisalat Business Center, Opposite ADNOC Petrol Station, Al Khan Street, Al Majaz 2, Al Majaz, Sharjah",Al Majaz,"Al Majaz, Sharjah",55.37552107,25.32813499,"pakistani, indian",100,Emirati Diram(AED),No,Yes,No,No,4,4.1,Green,Very Good,449,high,0.82,0.17888446215139442,"nayaab haandi sharjah pakistani, indian",0.0
5600103,Najmat Lahore Restaurant,214,Sharjah,"Near Sharjah Animal Market, Al Mina Road, Al Mareija, Sharjah",Al Mareija,"Al Mareija, Sharjah",55.38215585,25.35508316,"pakistani, indian, mughlai",80,Emirati Diram(AED),No,Yes,No,No,3,4.2,Green,Very Good,504,medium,0.8400000000000001,0.200796812749004,"najmat lahore restaurant sharjah pakistani, indian, mughlai",0.0
5602586,Saffron,214,Sharjah,"Mina Road, Opposite Bird Market, Al Mareija, Sharjah",Al Mareija,"Al Mareija, Sharjah",55.38290787,25.35443539,"pakistani, chinese, indian, afghani",90,Emirati Diram(AED),No,Yes,No,No,3,4.1,Green,Very Good,192,medium,0.82,0.07649402390438247,"saffron sharjah pakistani, chinese, indian, afghani",0.0
5600961,Pizza Hut,214,Sharjah,"Next to Safeer Mall, Al Nahda, Sharjah",Al Nahda,"Al Nahda, Sharjah",55.37454341,25.30564046,"fast food, pizza",80,Emirati Diram(AED),No,No,No,No,3,2.4,Red,Poor,154,medium,0.48,0.06135458167330677,"pizza hut sharjah fast food, pizza",0.0
5600960,Al Mukhtar Bakery,214,Sharjah,"Near Safeer Mall, Al Nahda, Sharjah",Al Nahda,"Al Nahda, Sharjah",55.37728127,25.3084117,"bakery, arabian, middle eastern",50,Emirati Diram(AED),No,No,No,No,2,4.2,Green,Very Good,142,low,0.8400000000000001,0.05657370517928287,"al mukhtar bakery sharjah bakery, arabian, middle eastern",0.0
5601340,Aroos Damascus,214,Sharjah,"Opposite Emirates NBD, Near First Gulf Bank, King Abdul Aziz Street, Al Nud, Sharjah",Al Nud,"Al Nud, Sharjah",55.39045796,25.34640794,"arabian, middle eastern",60,Emirati Diram(AED),No,No,No,No,3,4.2,Green,Very Good,444,medium,0.8400000000000001,0.17689243027888446,"aroos damascus sharjah arabian, middle eastern",0.0
5600701,Nando's,214,Sharjah,"Ground level, Block D, Qanat Al Qasba, Al Khan, Sharjah","Al Qasba, Al Khan","Al Qasba, Al Khan, Sharjah",55.376027,25.32188994,"african, portuguese",160,Emirati Diram(AED),No,Yes,No,No,4,4.2,Green,Very Good,265,high,0.8400000000000001,0.10557768924302789,"nando's sharjah african, portuguese",0.0
5601404,Peking Chinese Restaurant,214,Sharjah,"Opposite Spinneys Roundabout, Estiqlal Square, Halwan Suburb, Sharjah",Halwan Suburb,"Halwan Suburb, Sharjah",55.39922744,25.34839077,"chinese, thai",130,Emirati Diram(AED),No,Yes,No,No,4,3.8,Yellow,Good,227,high,0.76,0.09043824701195219,"peking chinese restaurant sharjah chinese, thai",0.0
5600556,TGI Friday's,214,Sharjah,"Majaz Waterfront, Buhairah Corniche, Al Majaz 3, Al Majaz, Sharjah","Majaz Waterfront, Al Majaz 3","Majaz Waterfront, Al Majaz 3, Sharjah",55.38781766,25.32774497,"american, mexican",250,Emirati Diram(AED),No,Yes,No,No,4,3.9,Yellow,Good,357,high,0.78,0.14223107569721116,"tgi friday's sharjah american, mexican",0.1611729738844183
5602055,Rajasthan Al Malaki,214,Sharjah,"Behind DPS Sharjah Primary School, Muwailih Commercial, Sharjah",Muwailih Commercial,"Muwailih Commercial, Sharjah",55.45195531,25.2887722,"indian, north indian",60,Emirati Diram(AED),No,No,No,No,3,4.8,Dark Green,Excellent,459,medium,0.96,0.18286852589641434,"rajasthan al malaki sharjah indian, north indian",0.0
5601521,Applebee's,214,Sharjah,"Opposite Jumbo Electronics, Level 2, Sahara Centre, Al Nahda, Sharjah","Sahara Centre, Al Nahda","Sahara Centre, Al Nahda, Sharjah",55.37353624,25.29782287,"american, mexican, burger",250,Emirati Diram(AED),No,Yes,No,No,4,4.1,Green,Very Good,197,high,0.82,0.07848605577689242,"applebee's sharjah american, mexican, burger",0.18681775331011305
5602377,Paper Fig,214,Sharjah,"Near Dubai Islamic Bank, Muweilah, University City, Sharjah",University City,"University City, Sharjah",55.45834266,25.3084123,"cafe, bakery, desserts",150,Emirati Diram(AED),No,No,No,No,4,4.5,Dark Green,Excellent,143,high,0.9,0.05697211155378486,"paper fig sharjah cafe, bakery, desserts",0.0
5602884,Sis Burger,214,Sharjah,"Behind ADNOC Petrol Station,Univercity City Road, University City, Sharjah",University City,"University City, Sharjah",55.45425095,25.31127229,"fast food, burger",50,Emirati Diram(AED),No,No,No,No,2,3.8,Yellow,Good,12,low,0.76,0.004780876494023904,"sis burger sharjah fast food, burger",0.0
5602942,Crafted Blends,214,Sharjah,"Next To Super Bonanza Hyper Market, Opposite Defence Camp, University City, Sharjah",University City,"University City, Sharjah",55.460279,25.310369,cafe,110,Emirati Diram(AED),No,No,No,No,4,4.2,Green,Very Good,43,high,0.8400000000000001,0.017131474103585658,crafted blends sharjah cafe,0.0
