Event_ID,Name,Categories,Environment,Location,Start_Date,End_Date,Price_Range,Image,Family_Friendly,Description
11,Sharjah Light Festival,"Festival, Cultural, Entertainment",Outdoor,Sharjah Heritage Area,2/5/2026,2/15/2026,Free,,TRUE,"The Sharjah Light Festival illuminates the emirate's heritage buildings, mosques, and public landmarks with elaborate projection-mapped light shows and animations, drawing evening crowds to admire the free outdoor displays."
12,Abu Dhabi Science Festival,"Exhibition, Cultural",Indoor,Various Abu Dhabi Locations,11/12/2026,11/21/2026,Free,,TRUE,"The Abu Dhabi Science Festival fills venues across the capital with hands-on experiments, robotics demos, and interactive exhibits designed to spark curiosity in science and technology among children and families alike."
13,Dubai International Film Festival,"Festival, Cultural",Indoor,Madinat Jumeirah Dubai,12/9/2026,12/16/2026,Medium,,TRUE,"The Dubai International Film Festival celebrates Arab and international cinema with red-carpet premieres, industry panels, and screenings spotlighting both established filmmakers and emerging regional talent at Madinat Jumeirah."
14,Taste of Dubai,"Festival, Entertainment",Outdoor,Dubai Media City,3/12/2026,3/14/2026,Medium,,TRUE,"Taste of Dubai combines live cooking demonstrations from celebrity chefs with food stalls and live music performances in an open-air setting, giving visitors a sampling festival built around food and entertainment together."
15,Abu Dhabi Comedy Week,"Concert, Entertainment",Indoor,Various Abu Dhabi Venues,10/15/2026,10/22/2026,Medium,,FALSE,"Abu Dhabi Comedy Week brings touring stand-up comedians to venues across the capital for a week of live comedy shows, showcasing a mix of international headliners and rising acts."
16,Dubai Design Week,"Exhibition, Cultural",Both,Dubai Design District,11/8/2026,11/13/2026,Free,,TRUE,"Dubai Design Week is the region's largest creative festival, spotlighting furniture, product, and graphic design through exhibitions, talks, and the Downtown Design trade fair centered in the Dubai Design District."
17,Sharjah Biennial,"Exhibition, Cultural",Indoor,Sharjah Art Foundation,3/7/2026,6/10/2026,Free,,TRUE,"The Sharjah Biennial is a major recurring contemporary art exhibition presenting works by artists from around the world across multiple venues, exploring global themes through installations, film, and performance over several months."
18,Dubai Marathon,Sports,Outdoor,Jumeirah Beach Road Dubai,1/23/2026,1/23/2026,Low,,TRUE,"The Dubai Marathon takes runners along the scenic Jumeirah Beach Road route, offering full and half marathon distances alongside a shorter fun run, drawing both elite athletes and recreational participants each January."
19,Abu Dhabi Marathon,Sports,Outdoor,Abu Dhabi Corniche,12/4/2026,12/4/2026,Low,,TRUE,"The Abu Dhabi Marathon winds along the capital's Corniche waterfront, attracting international elite runners and thousands of amateur participants across full marathon, half marathon, and shorter race categories."
20,UAE National Day Celebrations,"Festival, Cultural",Both,UAE Nationwide,12/2/2026,12/3/2026,Free,,TRUE,"UAE National Day Celebrations mark the founding of the union with parades, cultural performances, light shows, and fireworks held in cities and towns across the country over two days of patriotic festivities."
21,New Year's Eve Fireworks Dubai,"Festival, Entertainment",Outdoor,Burj Khalifa Dubai,12/31/2026,12/31/2026,Free,,TRUE,"The New Year's Eve Fireworks display at Burj Khalifa is one of the world's most-watched countdown celebrations, combining a synchronized pyrotechnic and light show with the tower's dazzling LED facade."
22,New Year's Eve Abu Dhabi,"Festival, Entertainment",Outdoor,Abu Dhabi Corniche,12/31/2026,12/31/2026,Free,,TRUE,"Abu Dhabi's New Year's Eve celebration along the Corniche pairs a spectacular fireworks display with live concerts and public gatherings, offering a free, family-friendly way to ring in the new year."
23,Dubai Tennis Championships,Sports,Outdoor,Dubai Duty Free Tennis Stadium,2/16/2026,2/22/2026,High,,TRUE,"The Dubai Tennis Championships bring top-ranked WTA 1000 players to the Dubai Duty Free Tennis Stadium for a week of professional tennis, part of the region's prestigious tennis calendar."
24,Mubadala World Tennis Championship,Sports,Indoor,Zayed Sports City Abu Dhabi,12/17/2026,12/19/2026,High,,TRUE,The Mubadala World Tennis Championship is an exhibition tournament that gathers some of the sport's biggest names for exciting off-season matches at Zayed Sports City in Abu Dhabi.
25,Dubai Desert Classic,Sports,Outdoor,Emirates Golf Club Dubai,1/28/2026,1/31/2026,Medium,,TRUE,"The Dubai Desert Classic is a European Tour golf tournament held at the Emirates Golf Club, attracting top international golfers to compete on one of the region's most iconic desert courses."
26,Abu Dhabi HSBC Championship,Sports,Outdoor,Yas Links Abu Dhabi,1/21/2026,1/24/2026,Medium,,TRUE,"The Abu Dhabi HSBC Championship is a PGA Tour golf event held at Yas Links, drawing world-class golfers to a coastal course overlooking the Arabian Gulf."
27,DP World Tour Championship,Sports,Outdoor,Jumeirah Golf Estates Dubai,11/18/2026,11/21/2026,Medium,,TRUE,"The DP World Tour Championship serves as the season finale for the European Tour, held at Jumeirah Golf Estates, where the year's top-ranked golfers compete for the season's biggest prize."
28,Dubai International Boat Show,Exhibition,Outdoor,Dubai Harbour,2/28/2026,3/4/2026,Medium,,TRUE,"The Dubai International Boat Show showcases luxury yachts, marine equipment, and watersports innovations at Dubai Harbour, drawing boating enthusiasts, industry professionals, and buyers from around the world."
29,Abu Dhabi International Boat Show,Exhibition,Outdoor,ADNEC Marina Abu Dhabi,10/14/2026,10/17/2026,Medium,,TRUE,"The Abu Dhabi International Boat Show gathers the marine industry at ADNEC Marina, featuring yachts, boats, and maritime technology alongside on-water demonstrations and industry networking."
30,GITEX Technology Week,Exhibition,Indoor,Dubai World Trade Centre,10/11/2026,10/15/2026,Medium,,FALSE,"GITEX Technology Week is one of the world's largest tech exhibitions, bringing together startups, global tech giants, and innovators at the Dubai World Trade Centre to showcase the latest in AI, cybersecurity, and digital transformation."
31,Arab Health,Exhibition,Indoor,Dubai World Trade Centre,1/26/2026,1/29/2026,Medium,,FALSE,"Arab Health is a major healthcare exhibition and congress that brings together medical professionals, manufacturers, and policymakers from across the region to explore the latest developments in medical technology and services."
32,Gulfood,Exhibition,Indoor,Dubai World Trade Centre,2/16/2026,2/20/2026,Medium,,FALSE,"Gulfood is billed as the world's largest annual food and beverage trade show, hosting thousands of exhibitors from across the global food industry at the Dubai World Trade Centre."
33,Dubai Airshow,Exhibition,Outdoor,DWC Airshow Site Dubai,11/14/2027,11/18/2027,Medium,,FALSE,"The Dubai Airshow is a major international aerospace and defense exhibition featuring aircraft displays, industry deals, and flying demonstrations at the Dubai World Central airshow site."
34,IDEX Abu Dhabi,Exhibition,Indoor,ADNEC Abu Dhabi,2/21/2027,2/25/2027,Medium,,FALSE,"IDEX Abu Dhabi is a leading international defence exhibition showcasing military technology, equipment, and innovations from global defence contractors and government delegations at ADNEC."
35,Mother of the Nation Festival,"Festival, Entertainment",Outdoor,Abu Dhabi Corniche,3/12/2026,3/21/2026,Low,,TRUE,"The Mother of the Nation Festival is a family-oriented celebration along the Abu Dhabi Corniche featuring cultural performances, workshops, and activities honoring the legacy of Sheikha Fatima bint Mubarak."
36,Eid Al Fitr Celebrations,"Festival, Cultural",Both,UAE Nationwide,3/20/2026,3/22/2026,Free,,TRUE,"Eid Al Fitr Celebrations mark the end of Ramadan with festive gatherings, prayers, family visits, and public festivities held in cities and neighborhoods across the UAE."
37,Eid Al Adha Celebrations,"Festival, Cultural",Both,UAE Nationwide,5/27/2026,5/30/2026,Free,,TRUE,"Eid Al Adha Celebrations bring communities together nationwide for prayers, feasts, and charitable traditions marking one of the most significant holidays in the Islamic calendar."
38,Dubai Summer Surprises,"Festival, Entertainment",Indoor,Dubai Citywide,6/28/2026,9/3/2026,Free,,TRUE,"Dubai Summer Surprises is a summer-long shopping and entertainment festival offering retail discounts, family activities, and indoor attractions to help residents beat the summer heat."
39,Abu Dhabi Summer Season,"Festival, Entertainment",Both,Abu Dhabi Citywide,7/1/2026,8/31/2026,Free,,TRUE,"The Abu Dhabi Summer Season fills the capital with indoor entertainment, family activities, and seasonal promotions designed to keep residents and visitors engaged throughout the hottest months."
40,Khaled bin Mohamed bin Zayed Jiu-Jitsu Championship Round 6,Sports,Indoor,Al Nasr Club Dubai,8/29/2026,8/30/2026,Low,,TRUE,"This round of the Khaled bin Mohamed bin Zayed Jiu-Jitsu Championship features No-Gi competition, bringing top grapplers to Al Nasr Club in Dubai as part of the UAE's growing jiu-jitsu circuit."
41,Khaled bin Mohamed bin Zayed Jiu-Jitsu Championship Round 7,Sports,Indoor,Mubadala Arena Abu Dhabi,9/18/2026,9/20/2026,Low,,TRUE,"This round of the Khaled bin Mohamed bin Zayed Jiu-Jitsu Championship focuses on Gi competition, hosted at the Mubadala Arena in Abu Dhabi as part of the sport's expanding regional calendar."
42,Abu Dhabi World Professional Jiu-Jitsu Championship,Sports,Indoor,Mubadala Arena Abu Dhabi,11/19/2026,11/21/2026,Medium,,TRUE,The Abu Dhabi World Professional Jiu-Jitsu Championship gathers elite grapplers from around the globe to compete at the Mubadala Arena in one of the sport's most prestigious professional tournaments.
43,Abu Dhabi World Amateur Jiu-Jitsu Championship,Sports,Indoor,Mubadala Arena Abu Dhabi,11/9/2026,11/10/2026,Low,,TRUE,The Abu Dhabi World Amateur Jiu-Jitsu Championship brings together amateur competitors from around the world to test their skills on one of the sport's biggest international stages.
44,Abu Dhabi World Youth Jiu-Jitsu Championship,Sports,Indoor,Mubadala Arena Abu Dhabi,11/11/2026,11/13/2026,Low,,TRUE,"The Abu Dhabi World Youth Jiu-Jitsu Championship showcases the next generation of grapplers, giving young athletes from around the world a platform to compete internationally."
45,Jiu-Jitsu President's Cup,Sports,Indoor,Abu Dhabi Venue TBC,10/24/2026,10/24/2026,Low,,TRUE,The Jiu-Jitsu President's Cup is a national-level competition that brings together competitors from across the UAE to vie for one of the country's top jiu-jitsu titles.
46,Women in Data Science UAE 2026,"Exhibition, Cultural",Indoor,Heriot-Watt University Dubai,7/19/2026,7/19/2026,Low,,FALSE,"Women in Data Science UAE 2026 is a one-day conference at Heriot-Watt University Dubai featuring talks, workshops, and networking aimed at supporting and inspiring women working in data and technology fields."
47,Abu Dhabi Connect Networking Evening,Cultural,Indoor,Craft by Side Hustle Abu Dhabi,7/16/2026,7/16/2026,Low,,FALSE,"The Abu Dhabi Connect Networking Evening offers professionals a relaxed setting to meet, exchange ideas, and build connections across industries at a popular capital venue."
48,Dubai Run,Sports,Outdoor,Sheikh Zayed Road Dubai,11/22/2026,11/22/2026,Free,,TRUE,"Dubai Run closes off Sheikh Zayed Road to traffic for a day, letting runners, joggers, and cyclists of all levels take over the iconic highway for a free community event."
49,Abu Dhabi T10 League,Sports,Outdoor,Zayed Cricket Stadium Abu Dhabi,11/23/2026,12/6/2026,Medium,,TRUE,"The Abu Dhabi T10 League brings fast-paced, ten-over cricket matches to the Zayed Cricket Stadium, featuring international players in a high-energy tournament format over roughly two weeks."
50,IPL UAE Matches,Sports,Outdoor,Dubai International Stadium,4/15/2026,4/30/2026,High,,TRUE,"IPL UAE Matches bring Indian Premier League cricket action to Dubai International Stadium, with top international and domestic players competing in some of the world's most-watched T20 fixtures."
51,Dubai Opera Season,"Concert, Cultural",Indoor,Dubai Opera,9/1/2026,6/30/2027,High,,TRUE,"The Dubai Opera Season runs nearly year-round, hosting a rotating program of classical concerts, opera, ballet, and theatrical productions from international and regional performers at the iconic Dubai Opera venue."
52,Louvre Abu Dhabi Exhibitions,"Exhibition, Cultural",Indoor,Louvre Abu Dhabi,1/1/2026,12/31/2026,Medium,,TRUE,"Louvre Abu Dhabi's rotating exhibitions bring loaned and rotating artworks, alongside the museum's permanent collection, offering visitors an ever-changing look at art and history spanning civilizations across the year."
53,Expo City Dubai Events,"Festival, Exhibition",Both,Expo City Dubai,1/1/2026,12/31/2026,Low,,TRUE,"Expo City Dubai continues hosting a year-round calendar of events, exhibitions, and community activities on the site of the former World Expo, blending its legacy pavilions with new programming."
54,Al Dhafra Festival,"Festival, Cultural",Outdoor,Madinat Zayed Al Dhafra,12/15/2026,1/15/2027,Free,,TRUE,"The Al Dhafra Festival is a month-long heritage celebration in the Al Dhafra region featuring camel beauty contests, traditional handicrafts, and cultural competitions that highlight Emirati Bedouin traditions."
55,Liwa Date Festival,"Festival, Cultural",Outdoor,Liwa Oasis Abu Dhabi,7/15/2026,7/25/2026,Free,,TRUE,"The Liwa Date Festival celebrates the region's date harvest with competitions, exhibitions, and cultural events held amid the dunes of the Liwa Oasis, honoring a crop central to Emirati heritage."
56,Sharjah Heritage Days,"Festival, Cultural",Outdoor,Heart of Sharjah,2/10/2026,2/25/2026,Free,,TRUE,"Sharjah Heritage Days transform the Heart of Sharjah into a living showcase of traditional Emirati culture, with craft demonstrations, folk performances, and heritage-themed activities for the whole family."
57,Dubai Camel Racing Season,"Sports, Cultural",Outdoor,Al Marmoom Dubai,10/1/2026,4/30/2027,Free,,TRUE,"The Dubai Camel Racing Season runs for months at the Al Marmoom track, where remote-controlled jockeys guide camels in races that preserve one of the region's oldest traditional sports."
58,Abu Dhabi Classics,Concert,Indoor,Emirates Palace Abu Dhabi,10/15/2026,4/30/2027,High,,TRUE,Abu Dhabi Classics is a long-running concert series bringing internationally acclaimed orchestras and classical musicians to the Emirates Palace for an elegant season of performances.
59,Emirates Airline Festival of Literature,"Festival, Cultural",Indoor,InterContinental Dubai Festival City,2/3/2026,2/8/2026,Low,,TRUE,"The Emirates Airline Festival of Literature gathers authors, poets, and thinkers from around the world for a week of talks, book signings, and workshops at the InterContinental Dubai Festival City."
60,Sikka Art and Design Festival,"Festival, Cultural",Outdoor,Al Fahidi Historical District Dubai,3/1/2026,3/15/2026,Free,,TRUE,"The Sikka Art and Design Festival takes over the historic Al Fahidi district with street art, design showcases, and creative installations set among Dubai's traditional wind-tower architecture."
61,Quoz Arts Fest,"Festival, Cultural",Both,Alserkal Avenue Dubai,1/29/2026,1/31/2026,Free,,TRUE,"Quoz Arts Fest is a community-driven celebration of art and creativity at Alserkal Avenue, featuring open studios, live performances, and installations across Dubai's arts district."
62,Dubai Comedy Festival,"Concert, Entertainment",Indoor,Various Dubai Venues,5/1/2026,5/15/2026,Medium,,FALSE,The Dubai Comedy Festival brings a lineup of international and regional stand-up comedians to venues across the city for two weeks of live comedy shows.
63,Abu Dhabi Festival,"Concert, Cultural",Indoor,Various Abu Dhabi Venues,2/15/2026,4/15/2026,High,,TRUE,"The Abu Dhabi Festival is a major performing arts festival presenting orchestral concerts, opera, dance, and cross-cultural collaborations across venues in the capital over two months."
64,Dubai International Dance Festival,"Concert, Cultural",Indoor,Dubai Opera,3/20/2026,3/28/2026,Medium,,TRUE,"The Dubai International Dance Festival showcases contemporary and traditional dance performances alongside workshops, bringing renowned choreographers and dance companies to the Dubai Opera stage."
65,Sharjah International Book Fair,"Exhibition, Cultural",Indoor,Expo Centre Sharjah,11/4/2026,11/14/2026,Free,,TRUE,"The Sharjah International Book Fair is one of the world's largest publishing events, bringing together publishers, authors, and readers for ten days of book launches, talks, and cultural programming."
66,Abu Dhabi International Book Fair,"Exhibition, Cultural",Indoor,ADNEC Abu Dhabi,4/26/2026,5/2/2026,Free,,TRUE,"The Abu Dhabi International Book Fair brings publishers and authors together at ADNEC for a week of book launches, signings, and literary discussions open to the public."
67,Dubai Watch Week,Exhibition,Indoor,Dubai International Financial Centre,11/18/2026,11/22/2026,Free,,TRUE,"Dubai Watch Week is a free public exhibition celebrating horology, featuring rare timepieces, brand showcases, and talks with watchmakers at the Dubai International Financial Centre."
68,Sole DXB,"Festival, Concert",Outdoor,Dubai Design District,12/10/2026,12/12/2026,High,,FALSE,"Sole DXB blends streetwear culture, sneaker releases, and live music into a festival experience at Dubai Design District, drawing fashion and hip-hop enthusiasts from across the region."
69,RedFest DXB,"Concert, Festival",Outdoor,Dubai Media City Amphitheatre,2/11/2026,2/12/2026,High,,FALSE,"RedFest DXB brings international pop, hip-hop, and EDM artists to an open-air amphitheatre in Dubai Media City for a weekend of high-energy live music performances."
70,Beats on the Beach,"Concert, Entertainment",Outdoor,Zero Gravity Dubai,4/10/2026,4/11/2026,Medium,,FALSE,"Beats on the Beach is a beachfront music festival at Zero Gravity Dubai, combining live DJ sets and performances with a seaside party atmosphere."
71,Dubai Muscle Show,"Exhibition, Sports",Indoor,Dubai World Trade Centre,12/4/2026,12/5/2026,Low,,TRUE,"The Dubai Muscle Show is a fitness and bodybuilding expo at the Dubai World Trade Centre featuring competitions, supplement showcases, and appearances by leading names in the fitness industry."
72,Abu Dhabi Fitness Expo,"Exhibition, Sports",Indoor,ADNEC Abu Dhabi,11/6/2026,11/8/2026,Low,,TRUE,"The Abu Dhabi Fitness Expo brings together health, wellness, and fitness brands at ADNEC, offering workshops, demonstrations, and networking for fitness enthusiasts and industry professionals."
73,Dubai E-Sports Festival,"Sports, Entertainment",Indoor,Dubai World Trade Centre,7/15/2026,7/18/2026,Medium,,TRUE,"The Dubai E-Sports Festival gathers competitive gamers and fans at the Dubai World Trade Centre for tournaments, exhibitions, and showcases spanning popular esports titles."
74,Gamers Hub Abu Dhabi,"Sports, Entertainment",Indoor,Yas Island Abu Dhabi,8/20/2026,8/23/2026,Medium,,TRUE,"Gamers Hub Abu Dhabi is a gaming convention on Yas Island featuring esports competitions, game showcases, and interactive experiences for gamers of all ages."
75,Comic Con Middle East,"Festival, Entertainment",Indoor,Abu Dhabi National Exhibition Centre,3/5/2026,3/7/2026,Medium,,TRUE,"Comic Con Middle East brings pop culture to Abu Dhabi with celebrity guest appearances, cosplay competitions, and exhibits celebrating comics, film, and gaming at ADNEC."
76,Middle East Film and Comic Con,"Festival, Entertainment",Indoor,Dubai World Trade Centre,4/16/2026,4/18/2026,Medium,,TRUE,"The Middle East Film and Comic Con celebrates pop culture with cosplay contests, panels, and exhibitor booths spanning comics, movies, and gaming at the Dubai World Trade Centre."
77,Dubai Ride,Sports,Outdoor,Sheikh Zayed Road Dubai,11/8/2026,11/8/2026,Free,,TRUE,Dubai Ride shuts down Sheikh Zayed Road for cyclists of all ages and skill levels to enjoy a car-free ride through the city's main thoroughfare.
78,Spinneys Dubai 92 Cycle Challenge,Sports,Outdoor,Dubai Autodrome,2/12/2026,2/12/2026,Low,,TRUE,The Spinneys Dubai 92 Cycle Challenge is a long-distance cycling event at Dubai Autodrome that draws amateur and competitive cyclists testing their endurance on a closed circuit.
79,Abu Dhabi Cycling Tour,Sports,Outdoor,Abu Dhabi Citywide,2/21/2026,2/27/2026,Free,,TRUE,"The Abu Dhabi Cycling Tour is a professional multi-stage cycling race that winds through the capital and surrounding areas, attracting top international cycling teams."
80,Dubai Tour,Sports,Outdoor,Dubai Citywide,2/2/2026,2/6/2026,Free,,TRUE,"The Dubai Tour is a professional multi-stage cycling race held across Dubai, drawing elite international cycling teams to compete over several days."
81,Ironman 70.3 Dubai,Sports,Both,Jumeirah Beach Dubai,2/6/2026,2/6/2026,High,,TRUE,"Ironman 70.3 Dubai is a half-distance triathlon combining swim, bike, and run legs along Jumeirah Beach, attracting endurance athletes from around the world."
82,Ironman 70.3 Yas Island,Sports,Both,Yas Island Abu Dhabi,3/6/2026,3/6/2026,High,,TRUE,"Ironman 70.3 Yas Island is a half-distance triathlon held on Yas Island, drawing competitive and amateur triathletes to a scenic swim-bike-run course."
83,Standard Chartered Dubai Marathon,Sports,Outdoor,Jumeirah Beach Road Dubai,1/23/2026,1/23/2026,Low,,TRUE,"The Standard Chartered Dubai Marathon is a full marathon along Jumeirah Beach Road, known for its flat, fast course that attracts elite distance runners and recreational participants alike."
84,ADNOC Abu Dhabi Marathon,Sports,Outdoor,Abu Dhabi Corniche,12/4/2026,12/4/2026,Low,,TRUE,"The ADNOC Abu Dhabi Marathon is a full marathon along the Abu Dhabi Corniche, offering runners scenic waterfront views on a course popular with both professional and amateur athletes."
85,Dubai Spartan Race,Sports,Outdoor,Hatta Dubai,11/27/2026,11/28/2026,Medium,,TRUE,"The Dubai Spartan Race is an obstacle course racing event held in Hatta, challenging participants with rugged terrain and physical obstacles across multiple difficulty levels."
86,UAE Tour,Sports,Outdoor,UAE Nationwide,2/21/2026,2/27/2026,Free,,TRUE,"The UAE Tour is a multi-stage professional cycling race that crosses the country, drawing top international teams and riders competing across a week of varied terrain."
87,Dubai Polo Gold Cup,Sports,Outdoor,Dubai Polo and Equestrian Club,2/15/2026,3/20/2026,High,,FALSE,"The Dubai Polo Gold Cup is a prestigious polo tournament held at the Dubai Polo and Equestrian Club, combining competitive matches with an upscale social season."
88,Beach Polo Cup Dubai,Sports,Outdoor,Jumeirah Beach Dubai,4/17/2026,4/18/2026,High,,FALSE,"The Beach Polo Cup Dubai brings the sport of polo to the sand at Jumeirah Beach, offering a unique beachfront twist on the traditional game alongside social events."
89,Sharjah International Triathlon,Sports,Both,Khor Fakkan Sharjah,2/27/2026,2/27/2026,Medium,,TRUE,"The Sharjah International Triathlon challenges competitors with a swim, bike, and run course set along the coastal town of Khor Fakkan."
90,Ras Al Khaimah Half Marathon,Sports,Outdoor,RAK Corniche,2/13/2026,2/13/2026,Low,,TRUE,"The Ras Al Khaimah Half Marathon takes runners along the scenic RAK Corniche, offering picturesque coastal views on a course popular with both locals and visiting athletes."
91,Fujairah International Triathlon,Sports,Both,Fujairah Beach,1/30/2026,1/30/2026,Medium,,TRUE,"The Fujairah International Triathlon combines swim, bike, and run legs along Fujairah's coastline, drawing triathletes to the East Coast for a scenic endurance challenge."
92,Abu Dhabi World Para Jiu-Jitsu Championship,Sports,Indoor,Mubadala Arena Abu Dhabi,11/10/2026,11/10/2026,Low,,TRUE,"The Abu Dhabi World Para Jiu-Jitsu Championship showcases para-athletes competing at the Mubadala Arena, highlighting adaptive jiu-jitsu on an international stage."
93,Abu Dhabi World Masters Jiu-Jitsu Championship,Sports,Indoor,Mubadala Arena Abu Dhabi,11/17/2026,11/18/2026,Low,,TRUE,The Abu Dhabi World Masters Jiu-Jitsu Championship brings together competitors in the masters divisions for two days of international-level grappling competition.
94,Abu Dhabi World Festival Jiu-Jitsu Championship,Sports,Indoor,Mubadala Arena Abu Dhabi,11/14/2026,11/16/2026,Low,,TRUE,The Abu Dhabi World Festival Jiu-Jitsu Championship rounds out the year's jiu-jitsu calendar with festival-format competition open to grapplers from across categories.
95,Dubai International Jewellery Week,Exhibition,Indoor,Dubai World Trade Centre,11/9/2026,11/13/2026,Free,,TRUE,"Dubai International Jewellery Week showcases luxury jewellery designers and brands from around the world at the Dubai World Trade Centre, featuring exhibitions and industry events."
96,Beautyworld Middle East,Exhibition,Indoor,Dubai World Trade Centre,10/5/2026,10/7/2026,Medium,,FALSE,"Beautyworld Middle East is a major beauty and wellness trade show at the Dubai World Trade Centre, bringing together cosmetics, spa, and personal care brands from around the globe."
97,Automechanika Dubai,Exhibition,Indoor,Dubai World Trade Centre,6/7/2026,6/9/2026,Medium,,FALSE,"Automechanika Dubai is an automotive aftermarket trade fair showcasing parts, tools, and services for the region's automotive industry at the Dubai World Trade Centre."
98,The Big 5 Dubai,Exhibition,Indoor,Dubai World Trade Centre,11/23/2026,11/26/2026,Medium,,FALSE,"The Big 5 Dubai is a major construction industry exhibition bringing together building materials, machinery, and construction technology from exhibitors around the world."
99,Arabian Travel Market,Exhibition,Indoor,Dubai World Trade Centre,4/26/2026,4/29/2026,Medium,,FALSE,"The Arabian Travel Market is a leading travel and tourism trade show at the Dubai World Trade Centre, connecting tourism boards, hoteliers, and travel companies from across the globe."
100,Gulf Information Technology Exhibition,Exhibition,Indoor,Dubai World Trade Centre,10/11/2026,10/15/2026,Medium,,FALSE,"The Gulf Information Technology Exhibition (GITEX) spotlights startups, emerging tech, and digital innovation, running alongside the broader GITEX Technology Week at the Dubai World Trade Centre."
